_related_company_domain,behind_firewall,company_domain,department_onet_codes,first_seen_at,id,last_seen_at,location_data,score,source_count
astra.co.id,True,astra.co.id,"[""15-2051.01""]",2025-12-06T11:00:03Z,b0da7288-97c0-482a-a92a-62c84d11f87e,2025-12-14T17:04:49Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1299.08""]",2025-12-06T11:00:03Z,1c5200c3-f91b-462a-aff4-afe07739f516,2025-12-14T17:04:49Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""27-3031.00""]",2025-12-05T11:00:04Z,12537eab-4f78-4490-a946-c556af2af432,2025-12-16T17:00:02Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""27-3031.00""]",2025-12-05T11:00:04Z,92649e6b-0a81-4747-98f6-754edaffbe6f,2025-12-16T17:00:02Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1252.00"", ""15-1299.08""]",2025-12-04T11:00:05Z,b4557950-e992-42a5-b10c-1a173fafc600,2026-06-18T10:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.47,3
astra.co.id,True,astra.co.id,"[""15-1253.00""]",2025-12-04T11:00:05Z,0f61b89b-a4de-4a5c-a311-da4d3be37cca,2025-12-18T23:00:04Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""13-1161.00""]",2025-12-04T11:00:05Z,1a54a5f8-9f13-4482-8fe6-fbb87eb4c5e6,2025-12-21T23:06:48Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1299.08""]",2025-12-04T11:00:05Z,bcf84c02-9052-44d0-9447-1ea49a5cfdfa,2025-12-18T23:00:04Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1212.00""]",2025-11-27T11:00:02Z,55d11118-6745-4513-a27e-9fe33ffba1e1,2026-01-01T17:00:01Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-2051.01""]",2025-11-24T11:01:19Z,f1e4fd21-722b-4ce5-8aa6-d837f2677d7e,2026-07-10T10:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.39,2
